timestamp,tail,owner,airport,airport_name,leg
2023-06-02,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-05-31,N628TS,Elon Musk,PEK,Capital Airport,departure
2023-05-31,N628TS,Elon Musk,PVG,Shanghai Pudong International Airport,arrival
2023-05-29,N628TS,Elon Musk,ANC,Ted Stevens Anchorage International Airport,departure
2023-05-29,N628TS,Elon Musk,PEK,Capital Airport,arrival
2023-05-29,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-05-29,N628TS,Elon Musk,ANC,Ted Stevens Anchorage International Airport,arrival
2023-05-26,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-05-26,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-05-26,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-05-26,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-05-25,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-05-25,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
