timestamp,tail,owner,airport,airport_name,leg
2024-06-18,N628TS,Elon Musk,NCE,Cote Azur Airport,arrival
2024-06-17,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-06-17,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-06-16,N628TS,Elon Musk,LGB,Long Beach Airport,departure
2024-06-16,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-06-14,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-06-14,N628TS,Elon Musk,LGB,Long Beach Airport,arrival
2024-06-13,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-06-13,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-06-12,N628TS,Elon Musk,AFW,Fort Worth Alliance Airport,departure
2024-06-12,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-06-11,N628TS,Elon Musk,SGR,Sugar Land Regional Airport,departure
2024-06-11,N628TS,Elon Musk,AFW,Fort Worth Alliance Airport,arrival
2024-06-11,N628TS,Elon Musk,AFW,Fort Worth Alliance Airport,departure
2024-06-11,N628TS,Elon Musk,SGR,Sugar Land Regional Airport,arrival
2024-06-09,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-06-09,N628TS,Elon Musk,AFW,Fort Worth Alliance Airport,arrival
2024-06-09,N628TS,Elon Musk,SGR,Sugar Land Regional Airport,departure
2024-06-09,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-06-09,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-06-09,N628TS,Elon Musk,SGR,Sugar Land Regional Airport,arrival
2024-06-07,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2024-06-07,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-06-06,N628TS,Elon Musk,ATW,Appleton International Airport,departure
2024-06-06,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2024-06-05,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-06-05,N628TS,Elon Musk,ATW,Appleton International Airport,arrival
2024-03-25,N628TS,Elon Musk,OAK,Oakland International Airport,departure
2024-03-25,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-03-23,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-03-23,N628TS,Elon Musk,OAK,Oakland International Airport,arrival
2024-03-22,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-03-22,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-03-19,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-03-19,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-03-15,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2024-03-15,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-03-14,N628TS,Elon Musk,TEB,Teterboro Airport,departure
2024-03-14,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2024-03-14,N628TS,Elon Musk,STN,Stansted Airport,departure
2024-03-14,N628TS,Elon Musk,TEB,Teterboro Airport,arrival
2024-03-13,N628TS,Elon Musk,LBG,Le Bourget Airport,departure
2024-03-13,N628TS,Elon Musk,STN,Stansted Airport,arrival
2024-03-13,N628TS,Elon Musk,SXF,Schonefeld Airport,departure
2024-03-13,N628TS,Elon Musk,LBG,Le Bourget Airport,arrival
2024-03-13,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-03-13,N628TS,Elon Musk,SXF,Schonefeld Airport,arrival
2024-03-07,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-03-07,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-03-06,N628TS,Elon Musk,OAK,Oakland International Airport,departure
2024-03-06,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-03-06,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2024-03-06,N628TS,Elon Musk,OAK,Oakland International Airport,arrival
2024-03-06,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-03-06,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2024-03-03,N628TS,Elon Musk,PBI,Palm Beach International Airport,departure
2024-03-03,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-03-03,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-03-03,N628TS,Elon Musk,PBI,Palm Beach International Airport,arrival
2024-02-28,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-02-28,N628TS,Elon Musk,AUS,Austin International Airport,arrival
